"Parameter","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"",0,0,0,0,0,0,0,0,0,0
"Bio Power - Generation (in MU)",10489.15,15871.26,14025.43,16573.71,15125.12,15514.09,17326.98,18852.72,17603.55,16336.57
"Coal - Generation (in MU)",652735.78,926913.02,970293.44,1023219.99,997670.36,944209.37,1071868.46,1164056.5,1264686.82,1327203.42
"Hydro - Generation (in MU)",102145.27,120510.25,127928.58,131020.09,152751.92,152835.76,149767.51,163344.77,138924.06,144717.66
"Nuclear - Generation (in MU)",27770.47,37897.56,37430.36,39050.71,45162.88,44613.11,43917.93,46194.68,48204.43,54704.06
"Oil & Gas - Generation (in MU)",34633.04,50211.7,50256.04,50257.34,47980.39,52170.75,39379.9,25155.85,29403.52,33928.69
"Small-Hydro - Generation (in MU)",7041.01,8278.84,7792.49,8509.89,8985.33,10529.11,10217.88,11128.31,9868.63,11160.24
"Solar - Generation (in MU)",5111.3,11565.31,21475.42,36037.9,46003.28,58683.59,68305.97,95150.03,113409.46,133795.09
"Wind - Generation (in MU)",28430.72,43460.23,52629.01,60311.28,63314.31,60427.48,68094.29,70045.19,82028.48,81544.17
"Total",868356.74,1214708.17,1281830.77,1364980.91,1376993.59,1338983.26,1468878.92,1593928.05,1704128.95,1803389.9
